Date,Closing Price,Return
107/11/27,224.00,0.00448
107/11/28,226.50,0.01116
107/11/29,229.00,0.01104
107/11/30,225.50,-0.01528
107/12/03,235.00,0.04213
107/12/04,234.00,-0.00426
107/12/05,226.00,-0.03419
107/12/06,220.00,-0.02655
107/12/07,221.00,0.00455
107/12/10,219.00,-0.00905
107/12/11,222.50,0.01598
107/12/12,226.50,0.01798
107/12/13,226.00,-0.00221
107/12/14,222.50,-0.01549
107/12/17,223.50,0.00449
107/12/18,222.50,-0.00447
107/12/19,225.50,0.01348
107/12/20,221.00,-0.01996
107/12/21,223.50,0.01131
107/12/22,221.50,-0.00895
107/12/24,220.00,-0.00677
107/12/25,217.50,-0.01136
107/12/26,216.50,-0.0046
107/12/27,223.00,0.03002
107/12/28,225.50,0.01121
108/01/02,219.50,-0.02661
108/01/03,215.50,-0.01822
108/01/04,208.00,-0.0348
108/01/07,213.00,0.02404
108/01/08,211.00,-0.00939
108/01/09,215.50,0.02133
108/01/10,216.00,0.00232
108/01/11,220.50,0.02083
108/01/14,218.50,-0.00907
108/01/15,221.00,0.01144
108/01/16,217.50,-0.01584
108/01/17,220.50,0.01379
108/01/18,218.50,-0.00907
108/01/21,221.00,0.01144
108/01/22,223.00,0.00905
108/01/23,220.50,-0.01121
108/01/24,222.50,0.00907
108/01/25,226.00,0.01573
108/01/28,229.00,0.01327
108/01/29,222.50,-0.02838
108/01/30,221.00,-0.00674
108/02/11,228.00,0.03167
108/02/12,230.00,0.00877
108/02/13,229.00,-0.00435
108/02/14,227.00,-0.00873
108/02/15,227.00,0.0
108/02/18,230.00,0.01322
108/02/19,229.00,-0.00435
108/02/20,234.50,0.02402
108/02/21,236.50,0.00853
108/02/22,236.50,0.0
108/02/25,238.00,0.00634
108/02/26,239.50,0.0063
108/02/27,239.00,-0.00209
108/03/04,235.50,-0.01464
108/03/05,233.00,-0.01062
108/03/06,234.00,0.00429
108/03/07,234.00,0.0
108/03/08,230.00,-0.01709
108/03/11,230.50,0.00217
108/03/12,235.50,0.02169
108/03/13,237.00,0.00637
108/03/14,234.50,-0.01055
108/03/15,239.00,0.01919
108/03/18,241.00,0.00837
108/03/19,240.50,-0.00207
108/03/20,242.00,0.00624
108/03/21,245.50,0.01446
108/03/22,248.50,0.01222
108/03/25,241.50,-0.02817
108/03/26,244.00,0.01035
108/03/27,241.50,-0.01025
108/03/28,242.00,0.00207
108/03/29,245.50,0.01446
108/04/01,245.50,0.0
108/04/02,246.00,0.00204
108/04/03,246.50,0.00203
108/04/08,253.00,0.02637
108/04/09,254.00,0.00395
108/04/10,254.00,0.0
108/04/11,252.00,-0.00787
108/04/12,252.00,0.0
108/04/15,255.50,0.01389
108/04/16,257.00,0.00587
108/04/17,261.50,0.01751
108/04/18,264.50,0.01147
108/04/19,264.50,0.0
108/04/22,266.00,0.00567
108/04/23,268.00,0.00752
108/04/24,269.00,0.00373
108/04/25,267.50,-0.00558
108/04/26,260.00,-0.02804
108/04/29,259.50,-0.00192
108/04/30,259.00,-0.00193
108/05/02,259.00,0.0
108/05/03,265.00,0.02317
108/05/06,259.00,-0.02264
108/05/07,262.50,0.01351
108/05/08,260.00,-0.00952
108/05/09,256.50,-0.01346
108/05/10,256.00,-0.00195
108/05/13,250.50,-0.02148
108/05/14,248.50,-0.00798
108/05/15,249.00,0.00201
108/05/16,247.00,-0.00803
108/05/17,241.50,-0.02227
108/05/20,238.00,-0.01449
108/05/21,234.00,-0.01681
108/05/22,238.00,0.01709
108/05/23,230.00,-0.03361
108/05/24,233.00,0.01304
108/05/27,231.00,-0.00858
108/05/28,230.50,-0.00216
108/05/29,229.50,-0.00434
108/05/30,231.00,0.00654
108/05/31,235.50,0.01948
108/06/03,238.00,0.01062
108/06/04,233.00,-0.02101
108/06/05,235.00,0.00858
108/06/06,232.00,-0.01277
108/06/10,240.00,0.03448
108/06/11,244.50,0.01875
108/06/12,246.00,0.00613
108/06/13,240.00,-0.02439
108/06/14,236.00,-0.01667
108/06/17,233.00,-0.01271
108/06/18,235.50,0.01073
108/06/19,244.00,0.03609
108/06/20,245.00,0.0041
108/06/21,248.50,0.01429
108/06/24,241.00,-0.03018
108/06/25,238.50,-0.01037
108/06/26,234.50,-0.01677
108/06/27,240.50,0.02559
108/06/28,239.00,-0.00624
108/07/01,248.50,0.03975
108/07/02,249.00,0.00201
108/07/03,242.50,-0.0261
108/07/04,244.00,0.00619
108/07/05,243.00,-0.0041
108/07/08,242.50,-0.00206
108/07/09,242.00,-0.00206
108/07/10,247.00,0.02066
108/07/11,250.00,0.01215
108/07/12,250.50,0.002
108/07/15,254.50,0.01597
108/07/16,256.00,0.00589
108/07/17,252.00,-0.01562
108/07/18,254.00,0.00794
108/07/19,259.00,0.01969
108/07/22,264.00,0.01931
108/07/23,264.00,0.0
108/07/24,265.00,0.00379
108/07/25,265.00,0.0
108/07/26,261.00,-0.01509
108/07/29,261.00,0.0
108/07/30,260.00,-0.00383
108/07/31,259.50,-0.00192
108/08/01,256.50,-0.01156
108/08/02,251.50,-0.01949
108/08/05,246.50,-0.01988
108/08/06,248.50,0.00811
108/08/07,248.00,-0.00201
108/08/08,253.50,0.02218
108/08/12,251.00,-0.00986
108/08/13,246.50,-0.01793
108/08/14,249.50,0.01217
108/08/15,248.00,-0.00601
108/08/16,250.00,0.00806
108/08/19,252.00,0.008
108/08/20,254.50,0.00992
108/08/21,254.50,0.0
108/08/22,254.00,-0.00196
108/08/23,254.00,0.0
108/08/26,248.50,-0.02165
108/08/27,250.00,0.00604
108/08/28,252.00,0.008
108/08/29,254.00,0.00794
108/08/30,259.00,0.01969
108/09/02,257.50,-0.00579
108/09/03,254.00,-0.01359
108/09/04,257.50,0.01378
108/09/05,263.00,0.02136
108/09/06,263.50,0.0019
108/09/09,265.00,0.00569
108/09/10,261.50,-0.01321
108/09/11,263.00,0.00574
108/09/12,262.50,-0.0019
108/09/16,265.50,0.01143
108/09/17,265.00,-0.00188
108/09/18,267.00,0.00755
108/09/19,265.00,-0.00749
108/09/20,264.00,-0.00377
